tanggal,keterangan,nama_variant,demand,is_holiday,year_month,is_ramadan,is_weekend
2023-01-03,SHIFT1 - AKHIR,Coklat,393,0,2023-01,0,0
2023-01-03,SHIFT1 - AKHIR,Moca,233,0,2023-01,0,0
2023-01-03,SHIFT1 - AKHIR,Original (Putih),265,0,2023-01,0,0
2023-01-03,SHIFT1 - AKHIR,Strawberry,166,0,2023-01,0,0
2023-01-03,SHIFT1 - AWAL,Coklat,0,0,2023-01,0,0
2023-01-03,SHIFT1 - AWAL,Moca,0,0,2023-01,0,0
2023-01-03,SHIFT1 - AWAL,Original (Putih),0,0,2023-01,0,0
2023-01-03,SHIFT1 - AWAL,Strawberry,0,0,2023-01,0,0
2023-01-03,SHIFT2 - AKHIR,Coklat,33,0,2023-01,0,0
2023-01-03,SHIFT2 - AKHIR,Moca,12,0,2023-01,0,0
2023-01-03,SHIFT2 - AKHIR,Original (Putih),12,0,2023-01,0,0
2023-01-03,SHIFT2 - AKHIR,Strawberry,1,0,2023-01,0,0
2023-01-03,SHIFT2 - AWAL,Coklat,30,0,2023-01,0,0
2023-01-03,SHIFT2 - AWAL,Moca,7,0,2023-01,0,0
2023-01-03,SHIFT2 - AWAL,Original (Putih),12,0,2023-01,0,0
2023-01-03,SHIFT2 - AWAL,Strawberry,0,0,2023-01,0,0
2023-01-03,SHIFT3 - AKHIR,Coklat,0,0,2023-01,0,0
2023-01-03,SHIFT3 - AKHIR,Moca,0,0,2023-01,0,0
2023-01-03,SHIFT3 - AKHIR,Original (Putih),0,0,2023-01,0,0
2023-01-03,SHIFT3 - AKHIR,Strawberry,0,0,2023-01,0,0
2023-01-03,SHIFT3 - AWAL,Coklat,16,0,2023-01,0,0
2023-01-03,SHIFT3 - AWAL,Moca,1,0,2023-01,0,0
2023-01-03,SHIFT3 - AWAL,Original (Putih),0,0,2023-01,0,0
2023-01-03,SHIFT3 - AWAL,Strawberry,8,0,2023-01,0,0
2023-01-03,SHIFTPUTIH - AKHIR,Coklat,0,0,2023-01,0,0
2023-01-03,SHIFTPUTIH - AKHIR,Moca,0,0,2023-01,0,0
2023-01-03,SHIFTPUTIH - AKHIR,Original (Putih),0,0,2023-01,0,0
2023-01-03,SHIFTPUTIH - AKHIR,Strawberry,0,0,2023-01,0,0
2023-01-03,SHIFTPUTIH - AWAL,Coklat,307,0,2023-01,0,0
2023-01-03,SHIFTPUTIH - AWAL,Moca,89,0,2023-01,0,0
2023-01-03,SHIFTPUTIH - AWAL,Original (Putih),103,0,2023-01,0,0
2023-01-03,SHIFTPUTIH - AWAL,Strawberry,23,0,2023-01,0,0
2023-01-04,SHIFT1 - AKHIR,Coklat,456,0,2023-01,0,0
2023-01-04,SHIFT1 - AKHIR,Moca,185,0,2023-01,0,0
2023-01-04,SHIFT1 - AKHIR,Original (Putih),223,0,2023-01,0,0
2023-01-04,SHIFT1 - AKHIR,Strawberry,154,0,2023-01,0,0
2023-01-04,SHIFT1 - AWAL,Coklat,422,0,2023-01,0,0
2023-01-04,SHIFT1 - AWAL,Moca,189,0,2023-01,0,0
2023-01-04,SHIFT1 - AWAL,Original (Putih),244,0,2023-01,0,0
2023-01-04,SHIFT1 - AWAL,Strawberry,117,0,2023-01,0,0
2023-01-04,SHIFT2 - AKHIR,Coklat,94,0,2023-01,0,0
2023-01-04,SHIFT2 - AKHIR,Moca,24,0,2023-01,0,0
2023-01-04,SHIFT2 - AKHIR,Original (Putih),27,0,2023-01,0,0
2023-01-04,SHIFT2 - AKHIR,Strawberry,6,0,2023-01,0,0
2023-01-04,SHIFT2 - AWAL,Coklat,23,0,2023-01,0,0
2023-01-04,SHIFT2 - AWAL,Moca,4,0,2023-01,0,0
2023-01-04,SHIFT2 - AWAL,Original (Putih),15,0,2023-01,0,0
2023-01-04,SHIFT2 - AWAL,Strawberry,7,0,2023-01,0,0
